index,Accuracy,Precision,DiceSimilarityCoefficient,IntersectionOverUnion,HausdorffDistance,TruePositive,TrueNegative,FalsePositive,FalseNegative,AUC,TruePositive_nor,TrueNegative_nor,FalsePositive_nor,FalseNegative_nor
14539,0.970595,0.842907,0.825759,0.703228,9.327379,16054,207571,2992,3783,0.897543,6.968 ,90.092 ,1.299 ,1.642 
14540,0.979466,0.842076,0.818826,0.69323,7.28011,10691,214978,2005,2726,0.893792,4.640 ,93.306 ,0.870 ,1.183 
14541,0.968537,0.683198,0.720429,0.563024,9.486833,9340,213811,4331,2918,0.871049,4.054 ,92.800 ,1.880 ,1.266 
14542,0.97378,0.75468,0.782141,0.642227,8.888194,10844,213515,3525,2516,0.897718,4.707 ,92.671 ,1.530 ,1.092 
14543,0.970043,0.797738,0.746381,0.59538,7.937254,10156,213342,2575,4327,0.844655,4.408 ,92.596 ,1.118 ,1.878 
14544,0.977652,0.810126,0.799361,0.66578,8.124038,10257,214994,2404,2745,0.88891,4.452 ,93.313 ,1.043 ,1.191 
14545,0.974293,0.758208,0.727866,0.572161,8.717798,7921,216556,2526,3397,0.844164,3.438 ,93.991 ,1.096 ,1.474 
14546,0.985091,0.80296,0.801709,0.669043,6.708204,6944,220021,1704,1731,0.896388,3.014 ,95.495 ,0.740 ,0.751 
14547,0.983303,0.826907,0.779453,0.63861,8.246211,6798,219755,1423,2424,0.865358,2.951 ,95.380 ,0.618 ,1.052 
14548,0.965022,0.766344,0.665199,0.49835,8.717798,8006,214335,2441,5618,0.788189,3.475 ,93.027 ,1.059 ,2.438 
14549,0.972752,0.807598,0.795385,0.660281,8.485281,12202,211920,2907,3371,0.885002,5.296 ,91.979 ,1.262 ,1.463 
14550,0.966181,0.768971,0.778334,0.637109,9.055385,13680,208928,4110,3682,0.884318,5.938 ,90.681 ,1.784 ,1.598 
14551,0.974887,0.818501,0.787545,0.649546,9.69536,10724,213890,2378,3408,0.873925,4.655 ,92.834 ,1.032 ,1.479 
14552,0.983225,0.801503,0.803338,0.671316,7.81025,7894,218641,1955,1910,0.89816,3.426 ,94.896 ,0.849 ,0.829 
14553,0.98602,0.833984,0.809239,0.679598,7.549834,6832,220347,1360,1861,0.889893,2.965 ,95.637 ,0.590 ,0.808 
14554,0.973468,0.795859,0.773802,0.631058,8.306624,10456,213831,2682,3431,0.870274,4.538 ,92.809 ,1.164 ,1.489 
14555,0.965226,0.716284,0.743731,0.592015,11,11626,210762,4605,3407,0.875992,5.046 ,91.477 ,1.999 ,1.479 
14556,0.976888,0.808999,0.808446,0.678481,8.062258,11237,213838,2653,2672,0.89782,4.877 ,92.812 ,1.151 ,1.160 
14557,0.973733,0.766054,0.773452,0.630593,9.380832,10331,214017,3155,2897,0.883234,4.484 ,92.889 ,1.369 ,1.257 
14558,0.972704,0.676649,0.741396,0.589062,8.602325,9015,215096,4308,1981,0.900104,3.913 ,93.358 ,1.870 ,0.860 
14559,0.971749,0.665611,0.735267,0.581361,8.660254,9039,214852,4541,1968,0.900253,3.923 ,93.252 ,1.971 ,0.854 
14560,0.975764,0.718331,0.762302,0.615903,7.745967,8954,215862,3511,2073,0.898001,3.886 ,93.690 ,1.524 ,0.900 
14561,0.973546,0.698808,0.747671,0.597025,8.124038,9030,215275,3892,2203,0.893062,3.919 ,93.435 ,1.689 ,0.956 
14562,0.968485,0.705773,0.697874,0.535949,8.774964,8386,214753,3496,3765,0.837065,3.640 ,93.209 ,1.517 ,1.634 
14563,0.966962,0.675321,0.637213,0.467581,8.774964,6685,216103,3214,4398,0.794261,2.901 ,93.795 ,1.395 ,1.909 
14564,0.98947,0.846971,0.848242,0.736476,5.91608,6780,221194,1225,1201,0.922005,2.943 ,96.004 ,0.532 ,0.521 
14565,0.98694,0.858994,0.815002,0.687766,5.91608,6628,220763,1088,1921,0.885196,2.877 ,95.817 ,0.472 ,0.834 
14566,0.980191,0.831599,0.790911,0.654138,7.549834,8632,217204,1748,2816,0.873017,3.747 ,94.273 ,0.759 ,1.222 
14567,0.976827,0.770081,0.750152,0.600195,7,8015,217046,2393,2946,0.860162,3.479 ,94.204 ,1.039 ,1.279 
